05/01/2024 18:00:00 - 05/01/2024 19:00:00,BZN|BG,Solar,0.03
06/01/2024 06:00:00 - 06/01/2024 07:00:00,BZN|BG,Solar,0.02
06/01/2024 07:00:00 - 06/01/2024 08:00:00,BZN|BG,Solar,1.18
06/01/2024 08:00:00 - 06/01/2024 09:00:00,BZN|BG,Solar,93.41
06/01/2024 09:00:00 - 06/01/2024 10:00:00,BZN|BG,Solar,271.51
06/01/2024 10:00:00 - 06/01/2024 11:00:00,BZN|BG,Solar,530.25
06/01/2024 11:00:00 - 06/01/2024 12:00:00,BZN|BG,Solar,598.98
06/01/2024 12:00:00 - 06/01/2024 13:00:00,BZN|BG,Solar,545.88
06/01/2024 13:00:00 - 06/01/2024 14:00:00,BZN|BG,Solar,644.97
06/01/2024 14:00:00 - 06/01/2024 15:00:00,BZN|BG,Solar,462.88
06/01/2024 15:00:00 - 06/01/2024 16:00:00,BZN|BG,Solar,276.35
06/01/2024 16:00:00 - 06/01/2024 17:00:00,BZN|BG,Solar,90.77
06/01/2024 17:00:00 - 06/01/2024 18:00:00,BZN|BG,Solar,0.27
06/01/2024 18:00:00 - 06/01/2024 19:00:00,BZN|BG,Solar,0.03
07/01/2024 06:00:00 - 07/01/2024 07:00:00,BZN|BG,Solar,0.03
07/01/2024 07:00:00 - 07/01/2024 08:00:00,BZN|BG,Solar,0.36
07/01/2024 08:00:00 - 07/01/2024 09:00:00,BZN|BG,Solar,81.91
07/01/2024 09:00:00 - 07/01/2024 10:00:00,BZN|BG,Solar,475.25
07/01/2024 10:00:00 - 07/01/2024 11:00:00,BZN|BG,Solar,652.85
07/01/2024 11:00:00 - 07/01/2024 12:00:00,BZN|BG,Solar,835.06
07/01/2024 12:00:00 - 07/01/2024 13:00:00,BZN|BG,Solar,840.73
07/01/2024 13:00:00 - 07/01/2024 14:00:00,BZN|BG,Solar,658.86
07/01/2024 14:00:00 - 07/01/2024 15:00:00,BZN|BG,Solar,429.72
07/01/2024 15:00:00 - 07/01/2024 16:00:00,BZN|BG,Solar,210.56
07/01/2024 16:00:00 - 07/01/2024 17:00:00,BZN|BG,Solar,52.58
07/01/2024 17:00:00 - 07/01/2024 18:00:00,BZN|BG,Solar,0.27
07/01/2024 18:00:00 - 07/01/2024 19:00:00,BZN|BG,Solar,0.03
08/01/2024 06:00:00 - 08/01/2024 07:00:00,BZN|BG,Solar,0.03
08/01/2024 07:00:00 - 08/01/2024 08:00:00,BZN|BG,Solar,0.15
08/01/2024 08:00:00 - 08/01/2024 09:00:00,BZN|BG,Solar,17.88
08/01/2024 09:00:00 - 08/01/2024 10:00:00,BZN|BG,Solar,81.60
08/01/2024 10:00:00 - 08/01/2024 11:00:00,BZN|BG,Solar,133.00
